,Mean,data,for,UKR,Province=,24:,"Vinnytsya,",from,1981,to,2017<br>The,data.1,below,were,extracted,from.1,weekly,files,like:,"../AVHRR_VHP/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_198135.txt<br><tt><pre>year,week,,","provinceID,","SMN,SMT,VCI,TCI,VHI"
0,1981,35.0,"0.261,291.40,","6.51,","81.49,",44.0,,,,,,,,,,,,,,,,
1,1981,36.0,"0.262,291.76,","12.24,","64.35,",38.3,,,,,,,,,,,,,,,,
2,1981,37.0,"0.260,291.55,","19.70,","51.17,",35.43,,,,,,,,,,,,,,,,
3,1981,38.0,"0.255,290.86,","26.27,","43.07,",34.67,,,,,,,,,,,,,,,,
4,1981,39.0,"0.249,289.56,","32.22,","39.72,",35.97,,,,,,,,,,,,,,,,
5,1981,40.0,"0.237,287.74,","35.88,","40.84,",38.36,,,,,,,,,,,,,,,,
6,1981,41.0,"0.219,285.35,","37.55,","42.35,",39.95,,,,,,,,,,,,,,,,
7,1981,42.0,"0.195,282.52,","37.91,","49.51,",43.71,,,,,,,,,,,,,,,,
8,1981,43.0,"0.165,279.36,","35.16,","58.01,",46.59,,,,,,,,,,,,,,,,
9,1981,44.0,"0.136,275.69,","30.79,","59.20,",44.99,,,,,,,,,,,,,,,,
10,1981,45.0,"0.109,271.77,","25.48,","58.48,",41.98,,,,,,,,,,,,,,,,
11,1981,46.0,"0.090,269.13,","24.87,","55.50,",40.19,,,,,,,,,,,,,,,,
12,1981,47.0,"0.081,267.25,","31.19,","52.97,",42.08,,,,,,,,,,,,,,,,
13,1981,48.0,"0.076,266.19,","39.58,","49.16,",44.37,,,,,,,,,,,,,,,,
14,1981,49.0,"0.068,265.15,","43.66,","45.00,",44.33,,,,,,,,,,,,,,,,
15,1981,50.0,"0.065,264.00,","49.41,","40.96,",45.18,,,,,,,,,,,,,,,,
16,1981,51.0,"0.063,262.73,","56.06,","37.55,",46.81,,,,,,,,,,,,,,,,
17,1981,52.0,"0.065,262.26,","60.45,","34.24,",47.34,,,,,,,,,,,,,,,,
18,1982,1.0,"0.068,263.59,","63.47,","28.34,",45.9,,,,,,,,,,,,,,,,
19,1982,2.0,"0.074,265.78,","67.62,","23.05,",45.34,,,,,,,,,,,,,,,,
20,1982,3.0,"0.076,267.19,","69.37,","20.40,",44.88,,,,,,,,,,,,,,,,
21,1982,4.0,"0.075,268.57,","65.26,","17.93,",41.6,,,,,,,,,,,,,,,,
22,1982,5.0,"0.072,269.24,","58.58,","20.00,",39.29,,,,,,,,,,,,,,,,
23,1982,6.0,"0.071,270.12,","52.37,","22.93,",37.65,,,,,,,,,,,,,,,,
24,1982,7.0,"0.069,271.42,","46.52,","23.54,",35.03,,,,,,,,,,,,,,,,
25,1982,8.0,"0.071,272.73,","43.90,","25.02,",34.46,,,,,,,,,,,,,,,,
26,1982,9.0,"0.071,273.55,","40.16,","29.93,",35.04,,,,,,,,,,,,,,,,
27,1982,10.0,"0.071,274.83,","34.51,","34.16,",34.33,,,,,,,,,,,,,,,,
28,1982,11.0,"0.075,276.70,","31.58,","34.05,",32.82,,,,,,,,,,,,,,,,
29,1982,12.0,"0.082,278.76,","27.79,","38.59,",33.19,,,,,,,,,,,,,,,,
30,1982,13.0,"0.089,280.34,","20.92,","44.35,",32.63,,,,,,,,,,,,,,,,
31,1982,14.0,"0.099,281.59,","13.64,","54.42,",34.03,,,,,,,,,,,,,,,,
32,1982,15.0,"0.106,282.09,","6.78,","74.56,",40.67,,,,,,,,,,,,,,,,
33,1982,16.0,"0.128,283.56,","5.91,","84.36,",45.13,,,,,,,,,,,,,,,,
34,1982,17.0,"0.165,285.87,","8.68,","84.09,",46.38,,,,,,,,,,,,,,,,
35,1982,18.0,"0.214,289.00,","16.42,","75.21,",45.82,,,,,,,,,,,,,,,,
36,1982,19.0,"0.261,291.52,","22.04,","64.58,",43.31,,,,,,,,,,,,,,,,
37,1982,20.0,"0.301,292.91,","24.41,","61.48,",42.94,,,,,,,,,,,,,,,,
38,1982,21.0,"0.333,293.18,","24.73,","66.04,",45.39,,,,,,,,,,,,,,,,
39,1982,22.0,"0.354,292.83,","20.96,","73.67,",47.31,,,,,,,,,,,,,,,,
40,1982,23.0,"0.366,292.65,","16.35,","79.08,",47.71,,,,,,,,,,,,,,,,
41,1982,24.0,"0.375,292.83,","14.69,","81.40,",48.04,,,,,,,,,,,,,,,,
42,1982,25.0,"0.385,292.94,","17.13,","83.42,",50.27,,,,,,,,,,,,,,,,
43,1982,26.0,"0.390,292.98,","19.35,","84.87,",52.11,,,,,,,,,,,,,,,,
44,1982,27.0,"0.394,293.25,","23.85,","85.59,",54.72,,,,,,,,,,,,,,,,
45,1982,28.0,"0.394,293.64,","29.76,","84.47,",57.11,,,,,,,,,,,,,,,,
46,1982,29.0,"0.399,294.27,","39.54,","79.30,",59.42,,,,,,,,,,,,,,,,
47,1982,30.0,"0.399,294.82,","45.03,","73.44,",59.23,,,,,,,,,,,,,,,,
48,1982,31.0,"0.393,295.26,","45.28,","67.63,",56.46,,,,,,,,,,,,,,,,
49,1982,32.0,"0.386,295.54,","45.23,","61.75,",53.49,,,,,,,,,,,,,,,,
50,1982,33.0,"0.381,295.69,","47.59,","54.82,",51.21,,,,,,,,,,,,,,,,
51,1982,34.0,"0.374,295.79,","50.85,","46.66,",48.76,,,,,,,,,,,,,,,,
52,1982,35.0,"0.362,295.42,","53.32,","40.20,",46.76,,,,,,,,,,,,,,,,
53,1982,36.0,"0.345,294.82,","54.44,","32.44,",43.44,,,,,,,,,,,,,,,,
54,1982,37.0,"0.319,293.86,","51.32,","27.87,",39.59,,,,,,,,,,,,,,,,
55,1982,38.0,"0.291,292.23,","45.36,","28.61,",36.98,,,,,,,,,,,,,,,,
56,1982,39.0,"0.258,290.02,","36.95,","34.25,",35.6,,,,,,,,,,,,,,,,
57,1982,40.0,"0.223,287.76,","27.95,","40.26,",34.1,,,,,,,,,,,,,,,,
58,1982,41.0,"0.188,285.92,","20.56,","34.98,",27.77,,,,,,,,,,,,,,,,
59,1982,42.0,"0.162,284.11,","19.83,","30.99,",25.41,,,,,,,,,,,,,,,,
60,1982,43.0,"0.138,282.07,","20.23,","32.94,",26.59,,,,,,,,,,,,,,,,
61,1982,44.0,"0.118,280.05,","20.70,","24.49,",22.6,,,,,,,,,,,,,,,,
62,1982,45.0,"0.096,277.63,","17.45,","22.40,",19.92,,,,,,,,,,,,,,,,
63,1982,46.0,"0.077,274.91,","15.96,","25.44,",20.7,,,,,,,,,,,,,,,,
64,1982,47.0,"0.063,271.51,","16.44,","32.57,",24.51,,,,,,,,,,,,,,,,
65,1982,48.0,"0.053,267.61,","19.02,","43.27,",31.15,,,,,,,,,,,,,,,,
66,1982,49.0,"0.046,264.40,","19.38,","48.83,",34.11,,,,,,,,,,,,,,,,
67,1982,50.0,"0.039,261.90,","19.38,","49.38,",34.38,,,,,,,,,,,,,,,,
68,1982,51.0,"0.038,260.11,","23.86,","46.93,",35.4,,,,,,,,,,,,,,,,
69,1982,52.0,"0.036,259.26,","24.37,","44.01,",34.19,,,,,,,,,,,,,,,,
70,1983,1.0,"0.034,259.24,","21.57,","42.35,",31.96,,,,,,,,,,,,,,,,
71,1983,2.0,"0.033,259.94,","21.99,","42.19,",32.09,,,,,,,,,,,,,,,,
72,1983,3.0,"0.035,260.45,","26.26,","42.67,",34.46,,,,,,,,,,,,,,,,
73,1983,4.0,"0.039,261.14,","30.90,","41.57,",36.23,,,,,,,,,,,,,,,,
74,1983,5.0,"0.042,261.85,","32.45,","42.72,",37.59,,,,,,,,,,,,,,,,
75,1983,6.0,"0.041,262.22,","29.40,","46.90,",38.15,,,,,,,,,,,,,,,,
76,1983,7.0,"0.043,263.53,","27.56,","47.78,",37.67,,,,,,,,,,,,,,,,
77,1983,8.0,"0.046,265.62,","27.70,","47.65,",37.67,,,,,,,,,,,,,,,,
78,1983,9.0,"0.051,267.79,","28.63,","49.20,",38.91,,,,,,,,,,,,,,,,
79,1983,10.0,"0.061,270.91,","29.26,","48.06,",38.66,,,,,,,,,,,,,,,,
80,1983,11.0,"0.072,273.96,","30.05,","44.75,",37.4,,,,,,,,,,,,,,,,
81,1983,12.0,"0.089,277.20,","31.68,","45.05,",38.36,,,,,,,,,,,,,,,,
82,1983,13.0,"0.111,280.70,","32.34,","42.77,",37.56,,,,,,,,,,,,,,,,
83,1983,14.0,"0.132,283.68,","30.62,","42.25,",36.43,,,,,,,,,,,,,,,,
84,1983,15.0,"0.158,286.42,","31.48,","43.61,",37.54,,,,,,,,,,,,,,,,
85,1983,16.0,"0.190,288.49,","32.83,","46.81,",39.82,,,,,,,,,,,,,,,,
86,1983,17.0,"0.228,290.54,","35.94,","45.97,",40.95,,,,,,,,,,,,,,,,
87,1983,18.0,"0.274,292.09,","42.16,","47.06,",44.61,,,,,,,,,,,,,,,,
88,1983,19.0,"0.317,292.71,","46.06,","53.57,",49.82,,,,,,,,,,,,,,,,
89,1983,20.0,"0.348,293.37,","45.94,","57.26,",51.6,,,,,,,,,,,,,,,,
90,1983,21.0,"0.372,294.04,","43.94,","58.47,",51.2,,,,,,,,,,,,,,,,
91,1983,22.0,"0.391,294.27,","40.79,","61.45,",51.12,,,,,,,,,,,,,,,,
92,1983,23.0,"0.404,294.30,","37.85,","65.28,",51.57,,,,,,,,,,,,,,,,
93,1983,24.0,"0.402,293.87,","30.57,","72.57,",51.57,,,,,,,,,,,,,,,,
94,1983,25.0,"0.398,293.76,","24.43,","76.60,",50.52,,,,,,,,,,,,,,,,
95,1983,26.0,"0.398,294.12,","23.40,","74.85,",49.12,,,,,,,,,,,,,,,,
96,1983,27.0,"0.392,294.19,","22.08,","77.29,",49.69,,,,,,,,,,,,,,,,
97,1983,28.0,"0.380,293.93,","21.09,","82.08,",51.58,,,,,,,,,,,,,,,,
98,1983,29.0,"0.368,293.73,","20.54,","85.14,",52.84,,,,,,,,,,,,,,,,
99,1983,30.0,"0.357,293.73,","20.21,","85.41,",52.81,,,,,,,,,,,,,,,,
100,1983,31.0,"0.358,293.88,","24.42,","83.67,",54.04,,,,,,,,,,,,,,,,
101,1983,32.0,"0.357,294.05,","27.97,","80.01,",53.99,,,,,,,,,,,,,,,,
102,1983,33.0,"0.354,294.43,","30.47,","70.94,",50.71,,,,,,,,,,,,,,,,
103,1983,34.0,"0.351,294.77,","36.05,","59.98,",48.02,,,,,,,,,,,,,,,,
104,1983,35.0,"0.350,295.12,","45.66,","43.98,",44.82,,,,,,,,,,,,,,,,
105,1983,36.0,"0.339,294.79,","51.03,","32.82,",41.93,,,,,,,,,,,,,,,,
106,1983,37.0,"0.320,294.06,","52.35,","25.91,",39.13,,,,,,,,,,,,,,,,
107,1983,38.0,"0.298,292.64,","49.83,","24.36,",37.1,,,,,,,,,,,,,,,,
108,1983,39.0,"0.276,290.85,","47.36,","25.01,",36.19,,,,,,,,,,,,,,,,
109,1983,40.0,"0.251,289.07,","43.56,","24.51,",34.03,,,,,,,,,,,,,,,,
110,1983,41.0,"0.221,286.64,","38.85,","26.36,",32.6,,,,,,,,,,,,,,,,
111,1983,42.0,"0.188,283.77,","34.55,","35.00,",34.77,,,,,,,,,,,,,,,,
112,1983,43.0,"0.157,280.83,","30.68,","44.83,",37.76,,,,,,,,,,,,,,,,
113,1983,44.0,"0.131,277.44,","28.29,","47.44,",37.87,,,,,,,,,,,,,,,,
114,1983,45.0,"0.110,274.29,","26.90,","46.36,",36.63,,,,,,,,,,,,,,,,
115,1983,46.0,"0.091,271.78,","25.71,","44.35,",35.03,,,,,,,,,,,,,,,,
116,1983,47.0,"0.076,269.58,","26.96,","43.46,",35.21,,,,,,,,,,,,,,,,
117,1983,48.0,"0.066,268.26,","31.14,","40.38,",35.76,,,,,,,,,,,,,,,,
