,Mean,data,for,UKR,Province=,16:,"Mykolayiv,",from,1981,to,2017<br>The,data.1,below,were,extracted,from.1,weekly,files,like:,"../AVHRR_VHP/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_198135.txt<br><tt><pre>year,week,,","provinceID,","SMN,SMT,VCI,TCI,VHI"
0,1981,35.0,"0.183,296.38,","23.29,","79.08,",51.19,,,,,,,,,,,,,,,,
1,1981,36.0,"0.185,296.18,","27.66,","68.89,",48.28,,,,,,,,,,,,,,,,
2,1981,37.0,"0.186,295.59,","32.85,","58.17,",45.51,,,,,,,,,,,,,,,,
3,1981,38.0,"0.187,294.52,","38.48,","52.66,",45.57,,,,,,,,,,,,,,,,
4,1981,39.0,"0.188,292.92,","43.77,","50.84,",47.3,,,,,,,,,,,,,,,,
5,1981,40.0,"0.189,290.84,","48.58,","50.17,",49.38,,,,,,,,,,,,,,,,
6,1981,41.0,"0.190,288.28,","53.16,","49.65,",51.41,,,,,,,,,,,,,,,,
7,1981,42.0,"0.188,285.36,","56.70,","48.58,",52.64,,,,,,,,,,,,,,,,
8,1981,43.0,"0.180,282.67,","56.86,","45.20,",51.03,,,,,,,,,,,,,,,,
9,1981,44.0,"0.161,279.45,","52.99,","44.41,",48.7,,,,,,,,,,,,,,,,
10,1981,45.0,"0.136,276.77,","46.78,","43.87,",45.32,,,,,,,,,,,,,,,,
11,1981,46.0,"0.115,274.71,","41.81,","41.52,",41.67,,,,,,,,,,,,,,,,
12,1981,47.0,"0.103,272.50,","39.88,","41.39,",40.64,,,,,,,,,,,,,,,,
13,1981,48.0,"0.092,270.33,","39.38,","42.17,",40.78,,,,,,,,,,,,,,,,
14,1981,49.0,"0.083,268.51,","38.91,","40.60,",39.75,,,,,,,,,,,,,,,,
15,1981,50.0,"0.077,266.73,","39.60,","39.67,",39.64,,,,,,,,,,,,,,,,
16,1981,51.0,"0.072,265.99,","40.71,","37.32,",39.01,,,,,,,,,,,,,,,,
17,1981,52.0,"0.067,265.94,","39.35,","34.61,",36.98,,,,,,,,,,,,,,,,
18,1982,1.0,"0.066,266.54,","40.85,","32.55,",36.7,,,,,,,,,,,,,,,,
19,1982,2.0,"0.066,267.40,","42.87,","28.53,",35.7,,,,,,,,,,,,,,,,
20,1982,3.0,"0.065,268.03,","42.87,","25.85,",34.36,,,,,,,,,,,,,,,,
21,1982,4.0,"0.061,268.46,","39.17,","25.89,",32.53,,,,,,,,,,,,,,,,
22,1982,5.0,"0.053,268.39,","33.90,","27.52,",30.71,,,,,,,,,,,,,,,,
23,1982,6.0,"0.049,269.18,","30.52,","28.91,",29.72,,,,,,,,,,,,,,,,
24,1982,7.0,"0.048,270.53,","27.67,","30.51,",29.09,,,,,,,,,,,,,,,,
25,1982,8.0,"0.051,271.91,","26.98,","32.41,",29.7,,,,,,,,,,,,,,,,
26,1982,9.0,"0.053,273.31,","26.03,","35.85,",30.94,,,,,,,,,,,,,,,,
27,1982,10.0,"0.059,275.18,","23.69,","38.46,",31.08,,,,,,,,,,,,,,,,
28,1982,11.0,"0.074,277.73,","25.67,","36.79,",31.23,,,,,,,,,,,,,,,,
29,1982,12.0,"0.091,281.25,","27.87,","33.98,",30.92,,,,,,,,,,,,,,,,
30,1982,13.0,"0.105,284.38,","28.45,","32.58,",30.52,,,,,,,,,,,,,,,,
31,1982,14.0,"0.117,286.50,","27.85,","34.23,",31.04,,,,,,,,,,,,,,,,
32,1982,15.0,"0.124,288.01,","24.66,","41.11,",32.89,,,,,,,,,,,,,,,,
33,1982,16.0,"0.143,289.62,","23.32,","53.19,",38.26,,,,,,,,,,,,,,,,
34,1982,17.0,"0.170,291.28,","23.84,","67.68,",45.76,,,,,,,,,,,,,,,,
35,1982,18.0,"0.200,293.12,","25.33,","73.51,",49.42,,,,,,,,,,,,,,,,
36,1982,19.0,"0.230,294.67,","24.90,","78.03,",51.47,,,,,,,,,,,,,,,,
37,1982,20.0,"0.254,295.57,","23.49,","80.91,",52.2,,,,,,,,,,,,,,,,
38,1982,21.0,"0.273,295.94,","23.42,","83.60,",53.51,,,,,,,,,,,,,,,,
39,1982,22.0,"0.285,295.77,","24.27,","87.44,",55.85,,,,,,,,,,,,,,,,
40,1982,23.0,"0.289,295.31,","25.81,","91.64,",58.72,,,,,,,,,,,,,,,,
41,1982,24.0,"0.292,295.50,","28.81,","93.04,",60.93,,,,,,,,,,,,,,,,
42,1982,25.0,"0.292,295.80,","31.50,","94.72,",63.11,,,,,,,,,,,,,,,,
43,1982,26.0,"0.290,295.92,","33.40,","96.08,",64.74,,,,,,,,,,,,,,,,
44,1982,27.0,"0.285,296.06,","33.77,","95.95,",64.86,,,,,,,,,,,,,,,,
45,1982,28.0,"0.279,296.31,","34.74,","93.96,",64.35,,,,,,,,,,,,,,,,
46,1982,29.0,"0.286,296.97,","41.10,","90.18,",65.64,,,,,,,,,,,,,,,,
47,1982,30.0,"0.291,297.80,","47.95,","83.29,",65.62,,,,,,,,,,,,,,,,
48,1982,31.0,"0.289,298.56,","52.89,","75.37,",64.13,,,,,,,,,,,,,,,,
49,1982,32.0,"0.285,299.31,","58.11,","67.56,",62.84,,,,,,,,,,,,,,,,
50,1982,33.0,"0.282,299.77,","62.62,","62.20,",62.41,,,,,,,,,,,,,,,,
51,1982,34.0,"0.274,299.66,","64.23,","60.70,",62.46,,,,,,,,,,,,,,,,
52,1982,35.0,"0.264,299.30,","64.88,","56.48,",60.68,,,,,,,,,,,,,,,,
53,1982,36.0,"0.254,298.97,","64.31,","43.98,",54.15,,,,,,,,,,,,,,,,
54,1982,37.0,"0.238,298.03,","60.52,","35.58,",48.05,,,,,,,,,,,,,,,,
55,1982,38.0,"0.222,296.50,","56.74,","34.01,",45.38,,,,,,,,,,,,,,,,
56,1982,39.0,"0.205,294.65,","51.80,","34.09,",42.94,,,,,,,,,,,,,,,,
57,1982,40.0,"0.180,292.20,","43.70,","37.01,",40.35,,,,,,,,,,,,,,,,
58,1982,41.0,"0.156,289.59,","36.89,","37.11,",37.0,,,,,,,,,,,,,,,,
59,1982,42.0,"0.137,286.78,","33.74,","35.87,",34.81,,,,,,,,,,,,,,,,
60,1982,43.0,"0.121,283.99,","31.67,","35.40,",33.54,,,,,,,,,,,,,,,,
61,1982,44.0,"0.107,281.77,","29.80,","29.57,",29.68,,,,,,,,,,,,,,,,
62,1982,45.0,"0.092,279.75,","26.94,","26.93,",26.93,,,,,,,,,,,,,,,,
63,1982,46.0,"0.078,277.00,","24.02,","30.21,",27.12,,,,,,,,,,,,,,,,
64,1982,47.0,"0.063,273.14,","19.81,","39.90,",29.85,,,,,,,,,,,,,,,,
65,1982,48.0,"0.054,269.02,","17.89,","49.94,",33.91,,,,,,,,,,,,,,,,
66,1982,49.0,"0.047,265.55,","16.57,","53.93,",35.25,,,,,,,,,,,,,,,,
67,1982,50.0,"0.040,262.69,","13.84,","55.96,",34.9,,,,,,,,,,,,,,,,
68,1982,51.0,"0.039,261.06,","15.66,","55.35,",35.51,,,,,,,,,,,,,,,,
69,1982,52.0,"0.039,261.02,","17.44,","51.00,",34.22,,,,,,,,,,,,,,,,
70,1983,1.0,"0.037,261.71,","20.07,","48.39,",34.23,,,,,,,,,,,,,,,,
71,1983,2.0,"0.035,262.39,","22.05,","44.60,",33.33,,,,,,,,,,,,,,,,
72,1983,3.0,"0.036,262.76,","23.42,","41.46,",32.44,,,,,,,,,,,,,,,,
73,1983,4.0,"0.038,263.30,","24.94,","39.91,",32.43,,,,,,,,,,,,,,,,
74,1983,5.0,"0.040,264.76,","26.25,","37.20,",31.72,,,,,,,,,,,,,,,,
75,1983,6.0,"0.039,265.59,","24.85,","38.64,",31.74,,,,,,,,,,,,,,,,
76,1983,7.0,"0.042,266.90,","24.24,","40.54,",32.39,,,,,,,,,,,,,,,,
77,1983,8.0,"0.049,268.82,","25.94,","41.03,",33.48,,,,,,,,,,,,,,,,
78,1983,9.0,"0.058,271.85,","28.19,","40.23,",34.21,,,,,,,,,,,,,,,,
79,1983,10.0,"0.070,275.79,","28.66,","36.82,",32.74,,,,,,,,,,,,,,,,
80,1983,11.0,"0.084,280.23,","29.95,","28.77,",29.36,,,,,,,,,,,,,,,,
81,1983,12.0,"0.103,284.61,","33.07,","22.37,",27.72,,,,,,,,,,,,,,,,
82,1983,13.0,"0.129,289.07,","38.58,","15.17,",26.88,,,,,,,,,,,,,,,,
83,1983,14.0,"0.154,292.10,","42.70,","11.23,",26.97,,,,,,,,,,,,,,,,
84,1983,15.0,"0.176,294.24,","44.35,","10.73,",27.54,,,,,,,,,,,,,,,,
85,1983,16.0,"0.196,295.89,","42.69,","14.08,",28.38,,,,,,,,,,,,,,,,
86,1983,17.0,"0.217,297.27,","40.65,","21.34,",31.0,,,,,,,,,,,,,,,,
