,Mean,data,for,UKR,Province=,17:,"Odessa,",from,1981,to,2017<br>The,data.1,below,were,extracted,from.1,weekly,files,like:,"../AVHRR_VHP/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_198135.txt<br><tt><pre>year,week,,","provinceID,","SMN,SMT,VCI,TCI,VHI"
0,1981,35.0,"0.216,296.41,","29.11,","74.15,",51.63,,,,,,,,,,,,,,,,
1,1981,36.0,"0.212,296.12,","33.70,","67.11,",50.41,,,,,,,,,,,,,,,,
2,1981,37.0,"0.210,295.54,","39.10,","60.25,",49.67,,,,,,,,,,,,,,,,
3,1981,38.0,"0.207,294.59,","44.10,","56.37,",50.24,,,,,,,,,,,,,,,,
4,1981,39.0,"0.205,293.20,","49.41,","55.02,",52.21,,,,,,,,,,,,,,,,
5,1981,40.0,"0.202,291.44,","53.60,","52.41,",53.01,,,,,,,,,,,,,,,,
6,1981,41.0,"0.197,289.14,","56.76,","47.77,",52.26,,,,,,,,,,,,,,,,
7,1981,42.0,"0.190,286.20,","58.87,","47.18,",53.03,,,,,,,,,,,,,,,,
8,1981,43.0,"0.175,283.02,","57.02,","48.89,",52.96,,,,,,,,,,,,,,,,
9,1981,44.0,"0.154,279.71,","52.32,","48.55,",50.44,,,,,,,,,,,,,,,,
10,1981,45.0,"0.127,276.38,","44.89,","50.27,",47.58,,,,,,,,,,,,,,,,
11,1981,46.0,"0.108,273.52,","40.40,","51.81,",46.1,,,,,,,,,,,,,,,,
12,1981,47.0,"0.098,271.25,","40.49,","52.99,",46.74,,,,,,,,,,,,,,,,
13,1981,48.0,"0.090,269.46,","41.39,","52.95,",47.17,,,,,,,,,,,,,,,,
14,1981,49.0,"0.083,268.42,","42.16,","47.75,",44.96,,,,,,,,,,,,,,,,
15,1981,50.0,"0.079,267.09,","44.72,","44.07,",44.4,,,,,,,,,,,,,,,,
16,1981,51.0,"0.075,266.33,","45.48,","41.70,",43.59,,,,,,,,,,,,,,,,
17,1981,52.0,"0.070,266.01,","42.88,","40.35,",41.61,,,,,,,,,,,,,,,,
18,1982,1.0,"0.067,266.69,","41.66,","37.50,",39.58,,,,,,,,,,,,,,,,
19,1982,2.0,"0.064,267.80,","41.90,","34.64,",38.27,,,,,,,,,,,,,,,,
