,Mean,data,for,UKR,Province=,18:,"Poltava,",from,1981,to,2017<br>The,data.1,below,were,extracted,from.1,weekly,files,like:,"../AVHRR_VHP/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_198135.txt<br><tt><pre>year,week,,","provinceID,","SMN,SMT,VCI,TCI,VHI"
0,1981,35.0,"0.238,291.57,","11.48,","93.26,",52.37,,,,,,,,,,,,,,,,
1,1981,36.0,"0.244,291.61,","19.94,","82.23,",51.08,,,,,,,,,,,,,,,,
2,1981,37.0,"0.250,291.40,","31.42,","66.43,",48.92,,,,,,,,,,,,,,,,
3,1981,38.0,"0.254,290.75,","43.65,","54.65,",49.15,,,,,,,,,,,,,,,,
4,1981,39.0,"0.254,289.50,","53.91,","46.28,",50.1,,,,,,,,,,,,,,,,
5,1981,40.0,"0.249,287.54,","62.42,","42.35,",52.39,,,,,,,,,,,,,,,,
6,1981,41.0,"0.238,284.82,","68.53,","44.76,",56.65,,,,,,,,,,,,,,,,
7,1981,42.0,"0.220,281.66,","72.81,","51.85,",62.33,,,,,,,,,,,,,,,,
8,1981,43.0,"0.197,278.33,","74.28,","56.38,",65.33,,,,,,,,,,,,,,,,
9,1981,44.0,"0.168,274.71,","70.10,","56.26,",63.18,,,,,,,,,,,,,,,,
10,1981,45.0,"0.135,270.20,","60.35,","63.15,",61.75,,,,,,,,,,,,,,,,
11,1981,46.0,"0.110,266.14,","53.81,","67.08,",60.44,,,,,,,,,,,,,,,,
12,1981,47.0,"0.091,262.73,","49.77,","68.47,",59.12,,,,,,,,,,,,,,,,
13,1981,48.0,"0.079,260.21,","49.00,","69.83,",59.41,,,,,,,,,,,,,,,,
14,1981,49.0,"0.069,257.97,","46.06,","72.30,",59.18,,,,,,,,,,,,,,,,
15,1981,50.0,"0.063,256.36,","46.99,","70.76,",58.87,,,,,,,,,,,,,,,,
16,1981,51.0,"0.057,255.15,","47.33,","69.52,",58.43,,,,,,,,,,,,,,,,
17,1981,52.0,"0.049,254.76,","46.37,","66.55,",56.46,,,,,,,,,,,,,,,,
18,1982,1.0,"0.044,255.31,","46.66,","61.44,",54.05,,,,,,,,,,,,,,,,
19,1982,2.0,"0.042,257.37,","45.34,","51.39,",48.37,,,,,,,,,,,,,,,,
20,1982,3.0,"0.041,259.08,","43.25,","45.76,",44.5,,,,,,,,,,,,,,,,
21,1982,4.0,"0.039,260.68,","41.60,","41.89,",41.74,,,,,,,,,,,,,,,,
22,1982,5.0,"0.037,261.76,","37.00,","41.55,",39.27,,,,,,,,,,,,,,,,
23,1982,6.0,"0.035,262.61,","30.84,","41.41,",36.13,,,,,,,,,,,,,,,,
24,1982,7.0,"0.035,264.26,","26.19,","38.87,",32.53,,,,,,,,,,,,,,,,
25,1982,8.0,"0.039,266.23,","24.51,","37.31,",30.91,,,,,,,,,,,,,,,,
26,1982,9.0,"0.043,268.15,","23.93,","37.03,",30.48,,,,,,,,,,,,,,,,
27,1982,10.0,"0.050,270.50,","23.99,","37.35,",30.67,,,,,,,,,,,,,,,,
28,1982,11.0,"0.064,273.53,","27.15,","36.09,",31.62,,,,,,,,,,,,,,,,
29,1982,12.0,"0.083,276.53,","31.95,","37.51,",34.73,,,,,,,,,,,,,,,,
30,1982,13.0,"0.097,278.80,","33.44,","42.20,",37.82,,,,,,,,,,,,,,,,
31,1982,14.0,"0.106,280.58,","31.14,","48.10,",39.62,,,,,,,,,,,,,,,,
32,1982,15.0,"0.116,281.99,","25.52,","57.43,",41.47,,,,,,,,,,,,,,,,
33,1982,16.0,"0.136,283.31,","23.07,","68.00,",45.53,,,,,,,,,,,,,,,,
34,1982,17.0,"0.165,284.99,","22.81,","80.26,",51.53,,,,,,,,,,,,,,,,
35,1982,18.0,"0.212,287.35,","28.38,","86.46,",57.42,,,,,,,,,,,,,,,,
36,1982,19.0,"0.274,290.03,","37.11,","84.97,",61.04,,,,,,,,,,,,,,,,
37,1982,20.0,"0.326,292.13,","43.08,","81.96,",62.52,,,,,,,,,,,,,,,,
38,1982,21.0,"0.365,293.22,","47.48,","82.61,",65.05,,,,,,,,,,,,,,,,
39,1982,22.0,"0.387,293.64,","47.19,","83.21,",65.2,,,,,,,,,,,,,,,,
40,1982,23.0,"0.395,293.76,","41.91,","85.54,",63.73,,,,,,,,,,,,,,,,
41,1982,24.0,"0.390,293.48,","30.88,","91.33,",61.11,,,,,,,,,,,,,,,,
42,1982,25.0,"0.378,293.30,","21.55,","94.89,",58.22,,,,,,,,,,,,,,,,
43,1982,26.0,"0.369,293.33,","18.43,","95.59,",57.01,,,,,,,,,,,,,,,,
44,1982,27.0,"0.358,293.48,","15.81,","94.50,",55.15,,,,,,,,,,,,,,,,
45,1982,28.0,"0.355,293.86,","18.01,","92.01,",55.01,,,,,,,,,,,,,,,,
46,1982,29.0,"0.354,294.21,","23.02,","91.92,",57.47,,,,,,,,,,,,,,,,
47,1982,30.0,"0.353,294.53,","29.33,","92.22,",60.78,,,,,,,,,,,,,,,,
48,1982,31.0,"0.352,294.92,","33.81,","89.59,",61.7,,,,,,,,,,,,,,,,
49,1982,32.0,"0.348,295.32,","37.34,","83.91,",60.63,,,,,,,,,,,,,,,,
50,1982,33.0,"0.346,295.52,","43.84,","78.11,",60.98,,,,,,,,,,,,,,,,
51,1982,34.0,"0.343,295.12,","50.51,","74.16,",62.34,,,,,,,,,,,,,,,,
52,1982,35.0,"0.340,294.60,","58.50,","67.64,",63.07,,,,,,,,,,,,,,,,
53,1982,36.0,"0.332,294.17,","63.99,","55.14,",59.56,,,,,,,,,,,,,,,,
54,1982,37.0,"0.313,292.99,","64.52,","47.97,",56.24,,,,,,,,,,,,,,,,
55,1982,38.0,"0.292,291.29,","63.22,","49.05,",56.14,,,,,,,,,,,,,,,,
56,1982,39.0,"0.262,289.44,","58.27,","48.35,",53.31,,,,,,,,,,,,,,,,
57,1982,40.0,"0.227,287.21,","50.85,","47.80,",49.33,,,,,,,,,,,,,,,,
58,1982,41.0,"0.192,284.60,","43.90,","48.78,",46.34,,,,,,,,,,,,,,,,
59,1982,42.0,"0.162,282.32,","40.24,","45.51,",42.87,,,,,,,,,,,,,,,,
60,1982,43.0,"0.140,279.78,","41.08,","44.16,",42.62,,,,,,,,,,,,,,,,
61,1982,44.0,"0.124,277.85,","43.38,","32.46,",37.92,,,,,,,,,,,,,,,,
62,1982,45.0,"0.107,276.09,","42.32,","24.05,",33.19,,,,,,,,,,,,,,,,
63,1982,46.0,"0.092,273.88,","41.68,","22.89,",32.29,,,,,,,,,,,,,,,,
64,1982,47.0,"0.075,270.82,","37.32,","26.15,",31.73,,,,,,,,,,,,,,,,
65,1982,48.0,"0.064,267.61,","35.60,","33.51,",34.55,,,,,,,,,,,,,,,,
66,1982,49.0,"0.056,264.44,","34.32,","42.63,",38.47,,,,,,,,,,,,,,,,
67,1982,50.0,"0.051,261.10,","33.30,","49.74,",41.52,,,,,,,,,,,,,,,,
68,1982,51.0,"0.047,258.64,","36.01,","54.29,",45.15,,,,,,,,,,,,,,,,
69,1982,52.0,"0.045,257.51,","39.84,","54.84,",47.34,,,,,,,,,,,,,,,,
70,1983,1.0,"0.043,258.11,","44.14,","49.49,",46.81,,,,,,,,,,,,,,,,
71,1983,2.0,"0.041,258.88,","43.37,","44.85,",44.11,,,,,,,,,,,,,,,,
72,1983,3.0,"0.041,259.58,","43.38,","43.51,",43.45,,,,,,,,,,,,,,,,
73,1983,4.0,"0.041,259.93,","42.56,","44.85,",43.71,,,,,,,,,,,,,,,,
74,1983,5.0,"0.039,260.33,","39.01,","47.10,",43.06,,,,,,,,,,,,,,,,
75,1983,6.0,"0.036,260.58,","31.86,","48.84,",40.35,,,,,,,,,,,,,,,,
76,1983,7.0,"0.035,261.55,","25.81,","48.27,",37.04,,,,,,,,,,,,,,,,
77,1983,8.0,"0.038,263.17,","23.61,","47.80,",35.7,,,,,,,,,,,,,,,,
78,1983,9.0,"0.041,265.43,","23.08,","46.21,",34.65,,,,,,,,,,,,,,,,
79,1983,10.0,"0.050,268.69,","23.63,","43.76,",33.69,,,,,,,,,,,,,,,,
80,1983,11.0,"0.060,272.91,","24.91,","38.32,",31.61,,,,,,,,,,,,,,,,
81,1983,12.0,"0.074,276.62,","27.87,","36.83,",32.35,,,,,,,,,,,,,,,,
82,1983,13.0,"0.097,280.60,","34.05,","33.65,",33.85,,,,,,,,,,,,,,,,
83,1983,14.0,"0.123,284.27,","39.42,","28.85,",34.14,,,,,,,,,,,,,,,,
84,1983,15.0,"0.153,287.25,","42.61,","26.26,",34.44,,,,,,,,,,,,,,,,
85,1983,16.0,"0.179,289.37,","42.28,","27.40,",34.84,,,,,,,,,,,,,,,,
86,1983,17.0,"0.212,291.77,","42.94,","27.89,",35.41,,,,,,,,,,,,,,,,
87,1983,18.0,"0.251,293.86,","45.05,","29.76,",37.4,,,,,,,,,,,,,,,,
88,1983,19.0,"0.290,295.04,","44.91,","36.01,",40.46,,,,,,,,,,,,,,,,
89,1983,20.0,"0.326,296.07,","44.26,","39.74,",42.0,,,,,,,,,,,,,,,,
90,1983,21.0,"0.351,296.83,","41.94,","42.10,",42.02,,,,,,,,,,,,,,,,
91,1983,22.0,"0.368,296.87,","37.14,","47.83,",42.48,,,,,,,,,,,,,,,,
92,1983,23.0,"0.375,296.68,","30.25,","54.46,",42.36,,,,,,,,,,,,,,,,
93,1983,24.0,"0.371,296.48,","19.35,","59.80,",39.58,,,,,,,,,,,,,,,,
94,1983,25.0,"0.365,296.81,","14.29,","58.50,",36.39,,,,,,,,,,,,,,,,
95,1983,26.0,"0.361,297.26,","13.91,","54.71,",34.31,,,,,,,,,,,,,,,,
96,1983,27.0,"0.355,297.52,","14.24,","52.17,",33.2,,,,,,,,,,,,,,,,
97,1983,28.0,"0.342,297.61,","11.83,","51.89,",31.86,,,,,,,,,,,,,,,,
98,1983,29.0,"0.324,297.61,","8.35,","55.16,",31.76,,,,,,,,,,,,,,,,
99,1983,30.0,"0.308,297.42,","8.01,","61.42,",34.72,,,,,,,,,,,,,,,,
100,1983,31.0,"0.302,297.01,","9.95,","67.57,",38.76,,,,,,,,,,,,,,,,
101,1983,32.0,"0.301,296.76,","13.80,","68.65,",41.23,,,,,,,,,,,,,,,,
102,1983,33.0,"0.302,296.65,","21.41,","65.97,",43.69,,,,,,,,,,,,,,,,
103,1983,34.0,"0.299,296.48,","28.01,","58.94,",43.47,,,,,,,,,,,,,,,,
104,1983,35.0,"0.295,296.43,","35.56,","46.31,",40.93,,,,,,,,,,,,,,,,
105,1983,36.0,"0.281,295.36,","37.71,","40.93,",39.32,,,,,,,,,,,,,,,,
106,1983,37.0,"0.262,294.10,","37.89,","33.87,",35.88,,,,,,,,,,,,,,,,
107,1983,38.0,"0.241,292.54,","36.63,","32.67,",34.65,,,,,,,,,,,,,,,,
108,1983,39.0,"0.216,289.66,","34.11,","45.63,",39.87,,,,,,,,,,,,,,,,
109,1983,40.0,"0.194,287.02,","32.91,","50.32,",41.62,,,,,,,,,,,,,,,,
110,1983,41.0,"0.168,284.18,","30.28,","53.96,",42.12,,,,,,,,,,,,,,,,
111,1983,42.0,"0.144,281.38,","29.47,","55.87,",42.67,,,,,,,,,,,,,,,,
112,1983,43.0,"0.120,278.46,","28.77,","55.83,",42.3,,,,,,,,,,,,,,,,
