,Mean,data,for,UKR,Province=,19:,"Rivne,",from,1981,to,2017<br>The,data.1,below,were,extracted,from.1,weekly,files,like:,"../AVHRR_VHP/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_198135.txt<br><tt><pre>year,week,,","provinceID,","SMN,SMT,VCI,TCI,VHI"
0,1981,35.0,"0.294,287.55,","17.37,","95.22,",56.3,,,,,,,,,,,,,,,,
1,1981,36.0,"0.304,288.87,","27.81,","75.86,",51.84,,,,,,,,,,,,,,,,
2,1981,37.0,"0.305,289.41,","36.83,","53.05,",44.94,,,,,,,,,,,,,,,,
3,1981,38.0,"0.301,289.34,","43.00,","37.74,",40.37,,,,,,,,,,,,,,,,
4,1981,39.0,"0.290,288.46,","46.51,","28.99,",37.75,,,,,,,,,,,,,,,,
5,1981,40.0,"0.274,286.71,","46.61,","28.87,",37.74,,,,,,,,,,,,,,,,
6,1981,41.0,"0.248,283.95,","44.43,","37.93,",41.18,,,,,,,,,,,,,,,,
7,1981,42.0,"0.215,280.38,","38.88,","56.43,",47.66,,,,,,,,,,,,,,,,
8,1981,43.0,"0.175,276.54,","29.73,","70.62,",50.17,,,,,,,,,,,,,,,,
9,1981,44.0,"0.139,272.47,","22.09,","76.58,",49.33,,,,,,,,,,,,,,,,
10,1981,45.0,"0.110,268.17,","16.56,","82.30,",49.43,,,,,,,,,,,,,,,,
11,1981,46.0,"0.091,265.04,","15.60,","81.54,",48.57,,,,,,,,,,,,,,,,
12,1981,47.0,"0.080,262.66,","18.65,","80.94,",49.8,,,,,,,,,,,,,,,,
13,1981,48.0,"0.074,260.97,","22.57,","80.26,",51.42,,,,,,,,,,,,,,,,
14,1981,49.0,"0.067,258.96,","22.19,","81.86,",52.03,,,,,,,,,,,,,,,,
15,1981,50.0,"0.065,257.02,","22.22,","83.54,",52.88,,,,,,,,,,,,,,,,
16,1981,51.0,"0.066,255.95,","26.41,","82.49,",54.45,,,,,,,,,,,,,,,,
17,1981,52.0,"0.070,256.32,","33.06,","75.48,",54.27,,,,,,,,,,,,,,,,
18,1982,1.0,"0.077,258.13,","44.89,","63.95,",54.42,,,,,,,,,,,,,,,,
19,1982,2.0,"0.084,261.28,","55.41,","47.93,",51.67,,,,,,,,,,,,,,,,
20,1982,3.0,"0.088,263.61,","59.42,","38.01,",48.72,,,,,,,,,,,,,,,,
21,1982,4.0,"0.091,266.15,","57.55,","29.88,",43.71,,,,,,,,,,,,,,,,
22,1982,5.0,"0.092,267.85,","50.06,","29.18,",39.62,,,,,,,,,,,,,,,,
23,1982,6.0,"0.094,268.92,","44.28,","31.75,",38.01,,,,,,,,,,,,,,,,
24,1982,7.0,"0.098,270.50,","41.33,","30.62,",35.97,,,,,,,,,,,,,,,,
25,1982,8.0,"0.106,272.32,","42.50,","29.83,",36.16,,,,,,,,,,,,,,,,
26,1982,9.0,"0.113,274.01,","43.51,","29.97,",36.74,,,,,,,,,,,,,,,,
27,1982,10.0,"0.120,275.63,","43.53,","31.80,",37.66,,,,,,,,,,,,,,,,
28,1982,11.0,"0.131,277.26,","42.70,","31.96,",37.33,,,,,,,,,,,,,,,,
29,1982,12.0,"0.142,278.95,","40.84,","38.51,",39.68,,,,,,,,,,,,,,,,
30,1982,13.0,"0.152,280.63,","36.97,","43.54,",40.26,,,,,,,,,,,,,,,,
31,1982,14.0,"0.161,282.33,","31.56,","48.11,",39.83,,,,,,,,,,,,,,,,
32,1982,15.0,"0.168,283.63,","23.71,","57.97,",40.84,,,,,,,,,,,,,,,,
33,1982,16.0,"0.185,285.07,","20.25,","65.26,",42.75,,,,,,,,,,,,,,,,
34,1982,17.0,"0.211,286.78,","20.42,","68.25,",44.33,,,,,,,,,,,,,,,,
35,1982,18.0,"0.247,288.38,","24.45,","66.51,",45.48,,,,,,,,,,,,,,,,
36,1982,19.0,"0.292,290.08,","32.91,","61.53,",47.22,,,,,,,,,,,,,,,,
37,1982,20.0,"0.340,291.55,","43.46,","56.61,",50.04,,,,,,,,,,,,,,,,
38,1982,21.0,"0.373,291.98,","48.59,","59.47,",54.03,,,,,,,,,,,,,,,,
39,1982,22.0,"0.394,292.18,","50.77,","60.28,",55.52,,,,,,,,,,,,,,,,
40,1982,23.0,"0.403,292.22,","49.81,","61.34,",55.58,,,,,,,,,,,,,,,,
41,1982,24.0,"0.400,292.01,","42.83,","64.96,",53.89,,,,,,,,,,,,,,,,
42,1982,25.0,"0.391,291.70,","36.58,","70.58,",53.58,,,,,,,,,,,,,,,,
43,1982,26.0,"0.384,291.70,","32.23,","72.16,",52.19,,,,,,,,,,,,,,,,
