,Mean,data,for,UKR,Province=,10:,"Khmel'nyts'kyy,",from,1981,to,2017<br>The,data.1,below,were,extracted,from.1,weekly,files,like:,"../AVHRR_VHP/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_198135.txt<br><tt><pre>year,week,,","provinceID,","SMN,SMT,VCI,TCI,VHI"
0,1981,35.0,"0.290,288.83,","16.20,","89.45,",52.83,,,,,,,,,,,,,,,,
1,1981,36.0,"0.294,289.84,","27.17,","70.22,",48.7,,,,,,,,,,,,,,,,
2,1981,37.0,"0.291,290.14,","36.19,","53.92,",45.06,,,,,,,,,,,,,,,,
3,1981,38.0,"0.285,289.86,","42.20,","43.06,",42.63,,,,,,,,,,,,,,,,
4,1981,39.0,"0.275,288.79,","46.12,","38.47,",42.3,,,,,,,,,,,,,,,,
5,1981,40.0,"0.258,286.90,","47.06,","40.50,",43.78,,,,,,,,,,,,,,,,
6,1981,41.0,"0.232,284.22,","44.43,","46.78,",45.6,,,,,,,,,,,,,,,,
7,1981,42.0,"0.199,280.66,","38.04,","63.89,",50.97,,,,,,,,,,,,,,,,
8,1981,43.0,"0.158,276.35,","28.35,","78.62,",53.49,,,,,,,,,,,,,,,,
9,1981,44.0,"0.125,272.21,","21.77,","81.70,",51.74,,,,,,,,,,,,,,,,
10,1981,45.0,"0.100,268.22,","18.70,","81.27,",49.99,,,,,,,,,,,,,,,,
11,1981,46.0,"0.083,264.65,","19.36,","79.32,",49.34,,,,,,,,,,,,,,,,
12,1981,47.0,"0.072,260.98,","24.33,","79.29,",51.81,,,,,,,,,,,,,,,,
13,1981,48.0,"0.066,258.42,","29.65,","77.55,",53.6,,,,,,,,,,,,,,,,
14,1981,49.0,"0.058,256.64,","30.56,","76.13,",53.34,,,,,,,,,,,,,,,,
15,1981,50.0,"0.055,255.38,","33.48,","73.00,",53.24,,,,,,,,,,,,,,,,
16,1981,51.0,"0.056,255.09,","40.77,","66.32,",53.55,,,,,,,,,,,,,,,,
17,1981,52.0,"0.057,255.87,","46.57,","58.90,",52.74,,,,,,,,,,,,,,,,
18,1982,1.0,"0.059,258.24,","51.11,","48.78,",49.95,,,,,,,,,,,,,,,,
19,1982,2.0,"0.063,261.53,","55.89,","38.20,",47.04,,,,,,,,,,,,,,,,
20,1982,3.0,"0.063,263.45,","57.30,","32.69,",44.99,,,,,,,,,,,,,,,,
21,1982,4.0,"0.061,265.10,","53.96,","28.62,",41.29,,,,,,,,,,,,,,,,
22,1982,5.0,"0.058,266.42,","46.87,","28.57,",37.72,,,,,,,,,,,,,,,,
23,1982,6.0,"0.056,267.47,","39.55,","30.27,",34.91,,,,,,,,,,,,,,,,
24,1982,7.0,"0.055,268.58,","35.19,","31.10,",33.14,,,,,,,,,,,,,,,,
25,1982,8.0,"0.057,270.15,","33.35,","32.09,",32.72,,,,,,,,,,,,,,,,
26,1982,9.0,"0.057,271.60,","30.82,","34.71,",32.77,,,,,,,,,,,,,,,,
27,1982,10.0,"0.057,273.10,","27.66,","36.79,",32.23,,,,,,,,,,,,,,,,
28,1982,11.0,"0.063,275.28,","26.28,","34.48,",30.38,,,,,,,,,,,,,,,,
29,1982,12.0,"0.074,277.68,","25.86,","36.39,",31.12,,,,,,,,,,,,,,,,
30,1982,13.0,"0.085,279.65,","22.76,","40.53,",31.65,,,,,,,,,,,,,,,,
31,1982,14.0,"0.098,281.32,","18.26,","46.96,",32.61,,,,,,,,,,,,,,,,
32,1982,15.0,"0.107,282.33,","11.26,","59.73,",35.49,,,,,,,,,,,,,,,,
33,1982,16.0,"0.129,284.00,","9.15,","69.23,",39.19,,,,,,,,,,,,,,,,
34,1982,17.0,"0.161,286.23,","10.63,","71.64,",41.14,,,,,,,,,,,,,,,,
35,1982,18.0,"0.203,288.95,","15.19,","63.82,",39.5,,,,,,,,,,,,,,,,
36,1982,19.0,"0.252,291.41,","20.85,","53.29,",37.07,,,,,,,,,,,,,,,,
37,1982,20.0,"0.299,292.91,","25.37,","50.39,",37.88,,,,,,,,,,,,,,,,
38,1982,21.0,"0.337,293.36,","27.36,","54.62,",40.99,,,,,,,,,,,,,,,,
39,1982,22.0,"0.365,293.44,","27.70,","59.02,",43.36,,,,,,,,,,,,,,,,
40,1982,23.0,"0.382,293.20,","25.81,","64.80,",45.31,,,,,,,,,,,,,,,,
41,1982,24.0,"0.387,293.07,","23.20,","69.39,",46.3,,,,,,,,,,,,,,,,
42,1982,25.0,"0.391,293.01,","24.85,","72.85,",48.85,,,,,,,,,,,,,,,,
43,1982,26.0,"0.393,292.94,","26.26,","75.50,",50.88,,,,,,,,,,,,,,,,
44,1982,27.0,"0.395,293.20,","29.30,","74.36,",51.83,,,,,,,,,,,,,,,,
45,1982,28.0,"0.394,293.59,","32.87,","70.50,",51.68,,,,,,,,,,,,,,,,
46,1982,29.0,"0.398,294.27,","41.28,","61.94,",51.61,,,,,,,,,,,,,,,,
47,1982,30.0,"0.396,294.91,","46.61,","53.26,",49.93,,,,,,,,,,,,,,,,
48,1982,31.0,"0.388,295.31,","44.70,","47.31,",46.0,,,,,,,,,,,,,,,,
49,1982,32.0,"0.377,295.37,","41.61,","45.51,",43.56,,,,,,,,,,,,,,,,
50,1982,33.0,"0.370,295.42,","40.74,","41.66,",41.2,,,,,,,,,,,,,,,,
51,1982,34.0,"0.364,295.57,","42.81,","34.03,",38.42,,,,,,,,,,,,,,,,
52,1982,35.0,"0.356,295.18,","48.36,","30.07,",39.22,,,,,,,,,,,,,,,,
