,Mean,data,for,UKR,Province=,1:,"Cherkasy,",from,1981,to,2017<br>The,data.1,below,were,extracted,from.1,weekly,files,like:,"../AVHRR_VHP/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_198135.txt<br><tt><pre>year,week,,","provinceID,","SMN,SMT,VCI,TCI,VHI"
0,1981,35.0,"0.255,292.68,","13.75,","73.72,",43.74,,,,,,,,,,,,,,,,
1,1981,36.0,"0.255,292.31,","19.82,","63.72,",41.77,,,,,,,,,,,,,,,,
2,1981,37.0,"0.258,291.88,","30.21,","51.66,",40.93,,,,,,,,,,,,,,,,
3,1981,38.0,"0.259,291.08,","39.91,","42.64,",41.28,,,,,,,,,,,,,,,,
4,1981,39.0,"0.256,289.75,","47.88,","37.60,",42.74,,,,,,,,,,,,,,,,
5,1981,40.0,"0.249,287.77,","54.64,","37.00,",45.82,,,,,,,,,,,,,,,,
6,1981,41.0,"0.236,284.88,","60.87,","43.25,",52.06,,,,,,,,,,,,,,,,
7,1981,42.0,"0.219,281.24,","65.71,","56.15,",60.93,,,,,,,,,,,,,,,,
8,1981,43.0,"0.194,277.53,","65.17,","64.36,",64.76,,,,,,,,,,,,,,,,
9,1981,44.0,"0.161,273.30,","58.33,","66.20,",62.27,,,,,,,,,,,,,,,,
10,1981,45.0,"0.123,269.05,","45.64,","65.89,",55.77,,,,,,,,,,,,,,,,
11,1981,46.0,"0.099,265.99,","40.66,","63.96,",52.31,,,,,,,,,,,,,,,,
12,1981,47.0,"0.086,264.01,","41.53,","61.45,",51.49,,,,,,,,,,,,,,,,
13,1981,48.0,"0.076,263.07,","43.06,","58.22,",50.64,,,,,,,,,,,,,,,,
14,1981,49.0,"0.068,262.06,","41.78,","56.29,",49.04,,,,,,,,,,,,,,,,
15,1981,50.0,"0.064,261.04,","45.38,","53.52,",49.45,,,,,,,,,,,,,,,,
16,1981,51.0,"0.059,259.85,","45.92,","50.40,",48.16,,,,,,,,,,,,,,,,
17,1981,52.0,"0.054,259.28,","44.00,","47.22,",45.61,,,,,,,,,,,,,,,,
18,1982,1.0,"0.053,260.31,","45.01,","39.46,",42.23,,,,,,,,,,,,,,,,
19,1982,2.0,"0.054,262.29,","46.83,","31.75,",39.29,,,,,,,,,,,,,,,,
20,1982,3.0,"0.055,263.82,","48.13,","27.24,",37.68,,,,,,,,,,,,,,,,
21,1982,4.0,"0.053,265.33,","46.09,","23.91,",35.0,,,,,,,,,,,,,,,,
22,1982,5.0,"0.050,265.66,","41.46,","26.65,",34.06,,,,,,,,,,,,,,,,
23,1982,6.0,"0.048,266.55,","36.56,","29.46,",33.01,,,,,,,,,,,,,,,,
24,1982,7.0,"0.048,267.84,","32.17,","31.14,",31.65,,,,,,,,,,,,,,,,
25,1982,8.0,"0.050,269.30,","30.30,","32.50,",31.4,,,,,,,,,,,,,,,,
26,1982,9.0,"0.052,270.75,","28.23,","35.22,",31.73,,,,,,,,,,,,,,,,
27,1982,10.0,"0.056,272.73,","25.25,","37.63,",31.44,,,,,,,,,,,,,,,,
28,1982,11.0,"0.069,275.46,","26.81,","34.79,",30.8,,,,,,,,,,,,,,,,
29,1982,12.0,"0.085,278.05,","27.87,","35.91,",31.89,,,,,,,,,,,,,,,,
30,1982,13.0,"0.096,279.89,","26.45,","40.30,",33.37,,,,,,,,,,,,,,,,
31,1982,14.0,"0.109,281.55,","22.93,","45.47,",34.2,,,,,,,,,,,,,,,,
32,1982,15.0,"0.120,282.57,","16.15,","59.42,",37.78,,,,,,,,,,,,,,,,
33,1982,16.0,"0.145,284.04,","13.92,","73.70,",43.81,,,,,,,,,,,,,,,,
34,1982,17.0,"0.180,286.05,","15.91,","83.78,",49.85,,,,,,,,,,,,,,,,
35,1982,18.0,"0.236,288.73,","25.98,","83.95,",54.97,,,,,,,,,,,,,,,,
36,1982,19.0,"0.292,291.42,","34.53,","77.20,",55.86,,,,,,,,,,,,,,,,
37,1982,20.0,"0.336,293.07,","38.39,","70.79,",54.59,,,,,,,,,,,,,,,,
38,1982,21.0,"0.366,293.62,","38.62,","71.80,",55.21,,,,,,,,,,,,,,,,
39,1982,22.0,"0.383,293.55,","34.90,","75.39,",55.14,,,,,,,,,,,,,,,,
40,1982,23.0,"0.391,293.47,","29.29,","77.99,",53.64,,,,,,,,,,,,,,,,
41,1982,24.0,"0.395,293.51,","27.50,","80.68,",54.09,,,,,,,,,,,,,,,,
42,1982,25.0,"0.396,293.26,","27.46,","86.21,",56.84,,,,,,,,,,,,,,,,
43,1982,26.0,"0.395,293.16,","27.71,","89.14,",58.43,,,,,,,,,,,,,,,,
44,1982,27.0,"0.394,293.50,","29.53,","88.81,",59.17,,,,,,,,,,,,,,,,
45,1982,28.0,"0.392,293.83,","34.04,","88.18,",61.11,,,,,,,,,,,,,,,,
46,1982,29.0,"0.393,294.17,","39.85,","87.00,",63.42,,,,,,,,,,,,,,,,
47,1982,30.0,"0.388,294.43,","43.47,","85.68,",64.58,,,,,,,,,,,,,,,,
48,1982,31.0,"0.383,294.83,","44.62,","81.04,",62.83,,,,,,,,,,,,,,,,
49,1982,32.0,"0.378,295.30,","46.78,","73.25,",60.01,,,,,,,,,,,,,,,,
50,1982,33.0,"0.374,295.43,","50.98,","66.04,",58.51,,,,,,,,,,,,,,,,
51,1982,34.0,"0.368,295.30,","54.79,","59.39,",57.09,,,,,,,,,,,,,,,,
52,1982,35.0,"0.362,294.95,","60.47,","50.47,",55.47,,,,,,,,,,,,,,,,
53,1982,36.0,"0.352,294.40,","65.80,","40.42,",53.11,,,,,,,,,,,,,,,,
54,1982,37.0,"0.332,293.49,","67.37,","32.84,",50.1,,,,,,,,,,,,,,,,
55,1982,38.0,"0.313,292.14,","68.18,","30.20,",49.19,,,,,,,,,,,,,,,,
56,1982,39.0,"0.287,290.29,","64.53,","31.40,",47.97,,,,,,,,,,,,,,,,
57,1982,40.0,"0.250,287.91,","54.93,","35.92,",45.43,,,,,,,,,,,,,,,,
58,1982,41.0,"0.211,285.34,","44.69,","37.53,",41.11,,,,,,,,,,,,,,,,
59,1982,42.0,"0.174,282.92,","36.32,","36.38,",36.35,,,,,,,,,,,,,,,,
