,Mean,data,for,UKR,Province=,3:,"Chernivtsi,",from,1981,to,2017<br>The,data.1,below,were,extracted,from.1,weekly,files,like:,"../AVHRR_VHP/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_198135.txt<br><tt><pre>year,week,,","provinceID,","SMN,SMT,VCI,TCI,VHI"
0,1981,35.0,"0.420,291.15,","50.37,","77.60,",63.98,,,,,,,,,,,,,,,,
1,1981,36.0,"0.414,291.23,","56.64,","61.60,",59.12,,,,,,,,,,,,,,,,
2,1981,37.0,"0.406,290.88,","62.23,","49.86,",56.04,,,,,,,,,,,,,,,,
3,1981,38.0,"0.392,290.27,","63.77,","42.04,",52.9,,,,,,,,,,,,,,,,
4,1981,39.0,"0.374,289.22,","64.12,","38.97,",51.55,,,,,,,,,,,,,,,,
5,1981,40.0,"0.350,287.77,","62.51,","41.72,",52.11,,,,,,,,,,,,,,,,
6,1981,41.0,"0.322,285.92,","60.45,","41.48,",50.97,,,,,,,,,,,,,,,,
7,1981,42.0,"0.291,283.43,","58.87,","46.50,",52.68,,,,,,,,,,,,,,,,
8,1981,43.0,"0.253,280.04,","54.93,","55.42,",55.18,,,,,,,,,,,,,,,,
9,1981,44.0,"0.212,276.90,","50.19,","54.34,",52.26,,,,,,,,,,,,,,,,
10,1981,45.0,"0.165,273.71,","41.26,","50.86,",46.06,,,,,,,,,,,,,,,,
11,1981,46.0,"0.131,270.34,","36.65,","53.11,",44.88,,,,,,,,,,,,,,,,
12,1981,47.0,"0.109,266.47,","35.97,","60.20,",48.08,,,,,,,,,,,,,,,,
13,1981,48.0,"0.093,263.80,","36.03,","64.37,",50.2,,,,,,,,,,,,,,,,
14,1981,49.0,"0.081,262.99,","35.42,","61.04,",48.23,,,,,,,,,,,,,,,,
15,1981,50.0,"0.075,262.32,","38.46,","56.06,",47.26,,,,,,,,,,,,,,,,
16,1981,51.0,"0.070,261.50,","42.57,","52.99,",47.78,,,,,,,,,,,,,,,,
17,1981,52.0,"0.066,260.64,","43.16,","54.03,",48.59,,,,,,,,,,,,,,,,
18,1982,1.0,"0.065,260.93,","41.81,","53.98,",47.9,,,,,,,,,,,,,,,,
19,1982,2.0,"0.066,262.39,","42.16,","49.09,",45.62,,,,,,,,,,,,,,,,
20,1982,3.0,"0.067,263.42,","42.06,","46.27,",44.17,,,,,,,,,,,,,,,,
21,1982,4.0,"0.067,264.39,","38.35,","44.27,",41.31,,,,,,,,,,,,,,,,
22,1982,5.0,"0.067,265.61,","34.87,","41.49,",38.18,,,,,,,,,,,,,,,,
23,1982,6.0,"0.067,266.96,","31.44,","40.62,",36.03,,,,,,,,,,,,,,,,
24,1982,7.0,"0.070,268.24,","29.46,","41.37,",35.42,,,,,,,,,,,,,,,,
25,1982,8.0,"0.073,269.29,","28.33,","44.69,",36.51,,,,,,,,,,,,,,,,
26,1982,9.0,"0.073,270.72,","26.10,","47.60,",36.85,,,,,,,,,,,,,,,,
27,1982,10.0,"0.076,272.84,","23.69,","48.04,",35.87,,,,,,,,,,,,,,,,
28,1982,11.0,"0.085,275.11,","23.08,","46.61,",34.85,,,,,,,,,,,,,,,,
29,1982,12.0,"0.097,277.26,","22.21,","48.77,",35.49,,,,,,,,,,,,,,,,
30,1982,13.0,"0.109,278.80,","19.59,","53.71,",36.65,,,,,,,,,,,,,,,,
31,1982,14.0,"0.122,279.72,","17.36,","62.90,",40.13,,,,,,,,,,,,,,,,
32,1982,15.0,"0.130,280.28,","12.91,","75.33,",44.12,,,,,,,,,,,,,,,,
33,1982,16.0,"0.152,281.82,","11.22,","81.90,",46.56,,,,,,,,,,,,,,,,
34,1982,17.0,"0.186,283.86,","12.40,","83.73,",48.07,,,,,,,,,,,,,,,,
35,1982,18.0,"0.232,286.67,","18.41,","77.86,",48.14,,,,,,,,,,,,,,,,
36,1982,19.0,"0.284,289.45,","24.69,","65.45,",45.07,,,,,,,,,,,,,,,,
37,1982,20.0,"0.322,291.21,","26.26,","58.27,",42.26,,,,,,,,,,,,,,,,
38,1982,21.0,"0.353,291.78,","25.26,","61.67,",43.46,,,,,,,,,,,,,,,,
39,1982,22.0,"0.373,291.98,","22.20,","65.75,",43.97,,,,,,,,,,,,,,,,
40,1982,23.0,"0.383,291.88,","18.97,","70.55,",44.76,,,,,,,,,,,,,,,,
41,1982,24.0,"0.390,292.06,","16.64,","72.64,",44.64,,,,,,,,,,,,,,,,
