,Mean,data,for,UKR,Province=,6:,"Donets'k,",from,1981,to,2017<br>The,data.1,below,were,extracted,from.1,weekly,files,like:,"../AVHRR_VHP/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_198135.txt<br><tt><pre>year,week,,","provinceID,","SMN,SMT,VCI,TCI,VHI"
0,1981,35.0,"0.199,296.30,","11.50,","76.54,",44.02,,,,,,,,,,,,,,,,
1,1981,36.0,"0.199,296.46,","15.74,","61.48,",38.61,,,,,,,,,,,,,,,,
2,1981,37.0,"0.189,295.69,","17.77,","49.48,",33.63,,,,,,,,,,,,,,,,
3,1981,38.0,"0.178,294.40,","20.58,","42.13,",31.35,,,,,,,,,,,,,,,,
4,1981,39.0,"0.165,292.40,","23.58,","40.10,",31.84,,,,,,,,,,,,,,,,
5,1981,40.0,"0.150,289.63,","25.78,","44.64,",35.21,,,,,,,,,,,,,,,,
6,1981,41.0,"0.134,285.82,","26.73,","54.74,",40.74,,,,,,,,,,,,,,,,
7,1981,42.0,"0.115,280.59,","25.84,","73.65,",49.75,,,,,,,,,,,,,,,,
8,1981,43.0,"0.094,275.67,","24.46,","79.66,",52.06,,,,,,,,,,,,,,,,
9,1981,44.0,"0.075,270.14,","21.68,","84.00,",52.84,,,,,,,,,,,,,,,,
10,1981,45.0,"0.064,264.14,","21.06,","90.18,",55.62,,,,,,,,,,,,,,,,
11,1981,46.0,"0.056,258.20,","22.18,","93.19,",57.69,,,,,,,,,,,,,,,,
12,1981,47.0,"0.052,254.27,","23.97,","92.76,",58.37,,,,,,,,,,,,,,,,
13,1981,48.0,"0.049,251.74,","26.24,","89.91,",58.08,,,,,,,,,,,,,,,,
14,1981,49.0,"0.046,250.06,","27.22,","86.63,",56.93,,,,,,,,,,,,,,,,
15,1981,50.0,"0.044,248.34,","28.67,","86.45,",57.56,,,,,,,,,,,,,,,,
16,1981,51.0,"0.042,248.77,","32.18,","83.62,",57.9,,,,,,,,,,,,,,,,
17,1981,52.0,"0.040,251.14,","38.23,","75.03,",56.63,,,,,,,,,,,,,,,,
18,1982,1.0,"0.038,253.37,","46.09,","65.49,",55.79,,,,,,,,,,,,,,,,
19,1982,2.0,"0.036,254.53,","44.28,","59.57,",51.93,,,,,,,,,,,,,,,,
20,1982,3.0,"0.034,255.68,","41.53,","54.36,",47.95,,,,,,,,,,,,,,,,
21,1982,4.0,"0.033,257.90,","38.80,","47.60,",43.2,,,,,,,,,,,,,,,,
22,1982,5.0,"0.032,259.33,","35.55,","46.42,",40.98,,,,,,,,,,,,,,,,
23,1982,6.0,"0.030,259.42,","29.08,","52.45,",40.76,,,,,,,,,,,,,,,,
24,1982,7.0,"0.029,259.70,","22.35,","57.33,",39.84,,,,,,,,,,,,,,,,
25,1982,8.0,"0.030,261.96,","20.12,","55.84,",37.98,,,,,,,,,,,,,,,,
26,1982,9.0,"0.030,264.06,","16.70,","56.61,",36.65,,,,,,,,,,,,,,,,
27,1982,10.0,"0.031,266.95,","14.54,","57.21,",35.87,,,,,,,,,,,,,,,,
28,1982,11.0,"0.037,270.29,","16.12,","58.43,",37.27,,,,,,,,,,,,,,,,
29,1982,12.0,"0.047,274.32,","19.62,","55.35,",37.48,,,,,,,,,,,,,,,,
30,1982,13.0,"0.062,278.97,","24.48,","48.13,",36.31,,,,,,,,,,,,,,,,
31,1982,14.0,"0.074,282.85,","24.88,","40.44,",32.66,,,,,,,,,,,,,,,,
32,1982,15.0,"0.089,285.96,","24.86,","37.25,",31.05,,,,,,,,,,,,,,,,
33,1982,16.0,"0.112,288.36,","26.61,","38.45,",32.53,,,,,,,,,,,,,,,,
34,1982,17.0,"0.140,290.42,","27.59,","43.21,",35.4,,,,,,,,,,,,,,,,
35,1982,18.0,"0.174,292.10,","29.12,","52.26,",40.69,,,,,,,,,,,,,,,,
36,1982,19.0,"0.221,293.78,","33.71,","60.03,",46.87,,,,,,,,,,,,,,,,
37,1982,20.0,"0.274,295.56,","40.80,","60.25,",50.52,,,,,,,,,,,,,,,,
