,Mean,data,for,UKR,Province=,27:,"Zhytomyr,",from,1981,to,2017<br>The,data.1,below,were,extracted,from.1,weekly,files,like:,"../AVHRR_VHP/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_198135.txt<br><tt><pre>year,week,,","provinceID,","SMN,SMT,VCI,TCI,VHI"
0,1981,35.0,"0.297,288.01,","13.95,","92.16,",53.05,,,,,,,,,,,,,,,,
1,1981,36.0,"0.299,288.86,","21.34,","75.21,",48.27,,,,,,,,,,,,,,,,
2,1981,37.0,"0.298,289.12,","29.67,","58.09,",43.88,,,,,,,,,,,,,,,,
3,1981,38.0,"0.296,289.01,","37.85,","43.42,",40.64,,,,,,,,,,,,,,,,
4,1981,39.0,"0.290,288.21,","45.29,","31.41,",38.35,,,,,,,,,,,,,,,,
5,1981,40.0,"0.278,286.72,","49.07,","26.40,",37.74,,,,,,,,,,,,,,,,
6,1981,41.0,"0.258,284.37,","48.74,","30.18,",39.46,,,,,,,,,,,,,,,,
7,1981,42.0,"0.225,281.28,","43.79,","42.90,",43.35,,,,,,,,,,,,,,,,
8,1981,43.0,"0.187,278.05,","35.41,","55.86,",45.64,,,,,,,,,,,,,,,,
9,1981,44.0,"0.152,274.90,","29.15,","58.12,",43.64,,,,,,,,,,,,,,,,
10,1981,45.0,"0.125,271.35,","24.32,","61.10,",42.71,,,,,,,,,,,,,,,,
11,1981,46.0,"0.107,268.34,","25.38,","60.26,",42.82,,,,,,,,,,,,,,,,
12,1981,47.0,"0.095,265.36,","30.29,","62.85,",46.57,,,,,,,,,,,,,,,,
13,1981,48.0,"0.086,263.82,","34.34,","60.25,",47.3,,,,,,,,,,,,,,,,
14,1981,49.0,"0.078,262.02,","33.22,","60.17,",46.7,,,,,,,,,,,,,,,,
15,1981,50.0,"0.074,259.84,","34.26,","61.92,",48.09,,,,,,,,,,,,,,,,
16,1981,51.0,"0.074,258.75,","37.81,","59.56,",48.68,,,,,,,,,,,,,,,,
17,1981,52.0,"0.077,259.48,","44.62,","51.92,",48.27,,,,,,,,,,,,,,,,
18,1982,1.0,"0.083,261.70,","57.78,","41.22,",49.5,,,,,,,,,,,,,,,,
19,1982,2.0,"0.092,264.40,","65.82,","31.42,",48.62,,,,,,,,,,,,,,,,
20,1982,3.0,"0.097,265.74,","70.62,","27.11,",48.86,,,,,,,,,,,,,,,,
21,1982,4.0,"0.101,267.73,","71.82,","20.73,",46.28,,,,,,,,,,,,,,,,
22,1982,5.0,"0.102,268.87,","65.88,","21.34,",43.61,,,,,,,,,,,,,,,,
23,1982,6.0,"0.103,269.80,","58.54,","24.88,",41.71,,,,,,,,,,,,,,,,
24,1982,7.0,"0.104,271.19,","52.98,","24.51,",38.74,,,,,,,,,,,,,,,,
25,1982,8.0,"0.107,272.53,","50.30,","24.93,",37.61,,,,,,,,,,,,,,,,
26,1982,9.0,"0.108,273.73,","47.48,","26.48,",36.98,,,,,,,,,,,,,,,,
27,1982,10.0,"0.109,275.00,","43.63,","29.24,",36.44,,,,,,,,,,,,,,,,
28,1982,11.0,"0.117,276.51,","41.24,","29.63,",35.44,,,,,,,,,,,,,,,,
29,1982,12.0,"0.127,278.00,","38.89,","36.62,",37.76,,,,,,,,,,,,,,,,
30,1982,13.0,"0.135,279.41,","33.32,","43.09,",38.21,,,,,,,,,,,,,,,,
31,1982,14.0,"0.145,280.79,","26.13,","51.57,",38.85,,,,,,,,,,,,,,,,
32,1982,15.0,"0.154,281.85,","17.49,","65.61,",41.55,,,,,,,,,,,,,,,,
33,1982,16.0,"0.177,283.32,","16.35,","74.95,",45.65,,,,,,,,,,,,,,,,
34,1982,17.0,"0.211,285.27,","18.91,","78.06,",48.48,,,,,,,,,,,,,,,,
35,1982,18.0,"0.263,287.61,","28.29,","73.07,",50.68,,,,,,,,,,,,,,,,
36,1982,19.0,"0.316,289.67,","37.51,","65.76,",51.64,,,,,,,,,,,,,,,,
37,1982,20.0,"0.359,291.13,","43.74,","62.27,",53.0,,,,,,,,,,,,,,,,
38,1982,21.0,"0.390,291.61,","46.89,","64.27,",55.58,,,,,,,,,,,,,,,,
39,1982,22.0,"0.407,291.69,","46.95,","66.31,",56.63,,,,,,,,,,,,,,,,
40,1982,23.0,"0.415,291.80,","44.97,","67.35,",56.16,,,,,,,,,,,,,,,,
41,1982,24.0,"0.416,291.89,","40.51,","69.00,",54.76,,,,,,,,,,,,,,,,
42,1982,25.0,"0.413,291.89,","36.05,","72.51,",54.28,,,,,,,,,,,,,,,,
43,1982,26.0,"0.410,291.91,","33.23,","74.04,",53.63,,,,,,,,,,,,,,,,
44,1982,27.0,"0.412,292.34,","34.11,","72.15,",53.13,,,,,,,,,,,,,,,,
45,1982,28.0,"0.417,292.91,","39.42,","70.03,",54.73,,,,,,,,,,,,,,,,
46,1982,29.0,"0.425,293.47,","48.36,","67.00,",57.68,,,,,,,,,,,,,,,,
47,1982,30.0,"0.424,293.79,","52.55,","65.83,",59.19,,,,,,,,,,,,,,,,
48,1982,31.0,"0.422,294.09,","54.26,","61.41,",57.83,,,,,,,,,,,,,,,,
49,1982,32.0,"0.413,293.95,","52.18,","60.72,",56.45,,,,,,,,,,,,,,,,
50,1982,33.0,"0.410,293.80,","54.53,","56.83,",55.68,,,,,,,,,,,,,,,,
51,1982,34.0,"0.407,293.78,","59.29,","45.73,",52.51,,,,,,,,,,,,,,,,
52,1982,35.0,"0.400,293.11,","62.62,","39.74,",51.18,,,,,,,,,,,,,,,,
53,1982,36.0,"0.388,292.19,","65.48,","35.71,",50.6,,,,,,,,,,,,,,,,
54,1982,37.0,"0.371,291.16,","65.99,","32.80,",49.39,,,,,,,,,,,,,,,,
55,1982,38.0,"0.352,289.50,","65.91,","36.50,",51.2,,,,,,,,,,,,,,,,
56,1982,39.0,"0.328,287.61,","64.37,","39.22,",51.8,,,,,,,,,,,,,,,,
57,1982,40.0,"0.295,285.82,","58.33,","38.07,",48.2,,,,,,,,,,,,,,,,
58,1982,41.0,"0.259,284.11,","49.38,","33.57,",41.47,,,,,,,,,,,,,,,,
59,1982,42.0,"0.231,282.39,","46.94,","30.84,",38.89,,,,,,,,,,,,,,,,
60,1982,43.0,"0.204,280.33,","45.87,","34.26,",40.06,,,,,,,,,,,,,,,,
61,1982,44.0,"0.180,278.43,","45.90,","26.99,",36.44,,,,,,,,,,,,,,,,
62,1982,45.0,"0.150,276.31,","40.45,","23.89,",32.17,,,,,,,,,,,,,,,,
63,1982,46.0,"0.127,274.15,","39.99,","23.41,",31.7,,,,,,,,,,,,,,,,
64,1982,47.0,"0.108,272.12,","41.23,","24.77,",33.0,,,,,,,,,,,,,,,,
65,1982,48.0,"0.087,269.31,","35.31,","32.99,",34.15,,,,,,,,,,,,,,,,
66,1982,49.0,"0.071,266.99,","27.18,","37.84,",32.51,,,,,,,,,,,,,,,,
67,1982,50.0,"0.061,265.48,","22.19,","37.57,",29.88,,,,,,,,,,,,,,,,
68,1982,51.0,"0.059,264.21,","24.00,","36.19,",30.09,,,,,,,,,,,,,,,,
69,1982,52.0,"0.055,263.49,","24.37,","35.02,",29.69,,,,,,,,,,,,,,,,
