,Mean,data,for,UKR,Province=,23:,"Transcarpathia,",from,1981,to,2017<br>The,data.1,below,were,extracted,from.1,weekly,files,like:,"../AVHRR_VHP/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_198135.txt<br><tt><pre>year,week,,","provinceID,","SMN,SMT,VCI,TCI,VHI"
0,1981,35.0,"0.415,288.84,","35.31,","80.71,",58.01,,,,,,,,,,,,,,,,
1,1981,36.0,"0.410,289.06,","41.73,","65.08,",53.4,,,,,,,,,,,,,,,,
2,1981,37.0,"0.399,288.68,","45.99,","53.01,",49.5,,,,,,,,,,,,,,,,
3,1981,38.0,"0.384,288.05,","46.69,","45.40,",46.05,,,,,,,,,,,,,,,,
4,1981,39.0,"0.367,287.13,","47.02,","39.11,",43.06,,,,,,,,,,,,,,,,
5,1981,40.0,"0.344,285.93,","46.78,","34.20,",40.49,,,,,,,,,,,,,,,,
6,1981,41.0,"0.319,284.29,","47.73,","32.20,",39.96,,,,,,,,,,,,,,,,
7,1981,42.0,"0.289,282.05,","48.28,","36.90,",42.59,,,,,,,,,,,,,,,,
8,1981,43.0,"0.256,278.63,","47.52,","52.89,",50.2,,,,,,,,,,,,,,,,
9,1981,44.0,"0.216,274.96,","42.63,","66.41,",54.52,,,,,,,,,,,,,,,,
10,1981,45.0,"0.177,271.45,","35.08,","72.51,",53.79,,,,,,,,,,,,,,,,
11,1981,46.0,"0.140,266.90,","27.87,","79.41,",53.64,,,,,,,,,,,,,,,,
12,1981,47.0,"0.113,262.48,","24.30,","87.65,",55.97,,,,,,,,,,,,,,,,
13,1981,48.0,"0.095,258.87,","23.15,","93.26,",58.2,,,,,,,,,,,,,,,,
14,1981,49.0,"0.080,255.96,","20.97,","95.82,",58.4,,,,,,,,,,,,,,,,
15,1981,50.0,"0.071,253.68,","17.84,","96.16,",57.0,,,,,,,,,,,,,,,,
16,1981,51.0,"0.065,252.03,","17.50,","95.60,",56.55,,,,,,,,,,,,,,,,
17,1981,52.0,"0.062,252.09,","18.66,","93.83,",56.24,,,,,,,,,,,,,,,,
18,1982,1.0,"0.061,253.43,","17.93,","90.95,",54.44,,,,,,,,,,,,,,,,
19,1982,2.0,"0.059,255.62,","16.96,","85.31,",51.13,,,,,,,,,,,,,,,,
20,1982,3.0,"0.060,258.56,","16.90,","74.56,",45.73,,,,,,,,,,,,,,,,
21,1982,4.0,"0.060,261.17,","16.45,","63.52,",39.98,,,,,,,,,,,,,,,,
22,1982,5.0,"0.061,263.92,","15.86,","53.34,",34.6,,,,,,,,,,,,,,,,
23,1982,6.0,"0.061,266.49,","14.98,","47.33,",31.15,,,,,,,,,,,,,,,,
24,1982,7.0,"0.067,268.74,","16.43,","44.98,",30.7,,,,,,,,,,,,,,,,
25,1982,8.0,"0.075,271.16,","19.05,","41.14,",30.09,,,,,,,,,,,,,,,,
26,1982,9.0,"0.085,273.95,","21.44,","37.05,",29.24,,,,,,,,,,,,,,,,
27,1982,10.0,"0.100,276.91,","24.64,","33.62,",29.13,,,,,,,,,,,,,,,,
28,1982,11.0,"0.111,279.06,","23.98,","35.94,",29.96,,,,,,,,,,,,,,,,
29,1982,12.0,"0.127,280.96,","23.95,","37.36,",30.66,,,,,,,,,,,,,,,,
30,1982,13.0,"0.141,282.17,","21.25,","37.52,",29.38,,,,,,,,,,,,,,,,
31,1982,14.0,"0.155,282.49,","16.17,","44.55,",30.36,,,,,,,,,,,,,,,,
32,1982,15.0,"0.162,282.36,","9.71,","56.11,",32.91,,,,,,,,,,,,,,,,
33,1982,16.0,"0.181,282.74,","7.95,","65.55,",36.75,,,,,,,,,,,,,,,,
34,1982,17.0,"0.213,283.94,","9.10,","69.82,",39.46,,,,,,,,,,,,,,,,
35,1982,18.0,"0.249,285.36,","11.68,","70.19,",40.93,,,,,,,,,,,,,,,,
36,1982,19.0,"0.303,287.28,","21.12,","59.79,",40.45,,,,,,,,,,,,,,,,
37,1982,20.0,"0.348,289.03,","29.38,","47.90,",38.64,,,,,,,,,,,,,,,,
38,1982,21.0,"0.383,289.96,","33.77,","45.40,",39.58,,,,,,,,,,,,,,,,
39,1982,22.0,"0.404,290.59,","34.15,","44.97,",39.56,,,,,,,,,,,,,,,,
40,1982,23.0,"0.412,290.97,","32.77,","45.60,",39.18,,,,,,,,,,,,,,,,
41,1982,24.0,"0.409,290.81,","29.90,","50.74,",40.32,,,,,,,,,,,,,,,,
42,1982,25.0,"0.413,290.89,","29.82,","53.23,",41.53,,,,,,,,,,,,,,,,
43,1982,26.0,"0.415,291.06,","28.25,","56.72,",42.49,,,,,,,,,,,,,,,,
44,1982,27.0,"0.419,291.17,","26.22,","64.63,",45.43,,,,,,,,,,,,,,,,
45,1982,28.0,"0.423,291.37,","27.58,","69.14,",48.36,,,,,,,,,,,,,,,,
46,1982,29.0,"0.437,291.84,","34.64,","66.16,",50.4,,,,,,,,,,,,,,,,
47,1982,30.0,"0.452,292.45,","42.23,","60.32,",51.27,,,,,,,,,,,,,,,,
48,1982,31.0,"0.458,292.81,","44.99,","56.45,",50.72,,,,,,,,,,,,,,,,
49,1982,32.0,"0.467,293.06,","49.56,","53.19,",51.37,,,,,,,,,,,,,,,,
50,1982,33.0,"0.476,293.15,","54.84,","49.12,",51.98,,,,,,,,,,,,,,,,
51,1982,34.0,"0.469,292.76,","53.89,","47.39,",50.64,,,,,,,,,,,,,,,,
52,1982,35.0,"0.461,292.66,","56.06,","36.46,",46.26,,,,,,,,,,,,,,,,
53,1982,36.0,"0.457,292.74,","62.13,","18.77,",40.45,,,,,,,,,,,,,,,,
54,1982,37.0,"0.440,292.23,","61.90,","10.82,",36.36,,,,,,,,,,,,,,,,
55,1982,38.0,"0.421,291.36,","60.35,","7.54,",33.94,,,,,,,,,,,,,,,,
56,1982,39.0,"0.396,290.25,","57.09,","5.78,",31.44,,,,,,,,,,,,,,,,
57,1982,40.0,"0.364,288.69,","52.23,","6.19,",29.21,,,,,,,,,,,,,,,,
58,1982,41.0,"0.335,286.86,","51.80,","6.56,",29.18,,,,,,,,,,,,,,,,
59,1982,42.0,"0.310,285.04,","54.49,","8.34,",31.41,,,,,,,,,,,,,,,,
60,1982,43.0,"0.281,283.02,","56.09,","15.60,",35.84,,,,,,,,,,,,,,,,
61,1982,44.0,"0.251,281.19,","55.91,","18.21,",37.06,,,,,,,,,,,,,,,,
62,1982,45.0,"0.224,279.44,","56.17,","17.75,",36.96,,,,,,,,,,,,,,,,
63,1982,46.0,"0.198,277.60,","56.44,","15.15,",35.79,,,,,,,,,,,,,,,,
64,1982,47.0,"0.165,275.18,","52.73,","17.18,",34.95,,,,,,,,,,,,,,,,
65,1982,48.0,"0.136,272.87,","47.77,","21.09,",34.43,,,,,,,,,,,,,,,,
66,1982,49.0,"0.115,270.31,","44.72,","25.96,",35.34,,,,,,,,,,,,,,,,
67,1982,50.0,"0.095,266.83,","36.72,","34.40,",35.56,,,,,,,,,,,,,,,,
68,1982,51.0,"0.078,263.55,","28.90,","43.15,",36.02,,,,,,,,,,,,,,,,
69,1982,52.0,"0.065,260.89,","20.63,","53.31,",36.97,,,,,,,,,,,,,,,,
70,1983,1.0,"0.055,259.40,","11.30,","63.23,",37.26,,,,,,,,,,,,,,,,
71,1983,2.0,"0.052,258.84,","9.50,","70.88,",40.19,,,,,,,,,,,,,,,,
72,1983,3.0,"0.056,259.01,","11.65,","75.34,",43.49,,,,,,,,,,,,,,,,
73,1983,4.0,"0.060,260.14,","13.88,","73.12,",43.5,,,,,,,,,,,,,,,,
74,1983,5.0,"0.067,262.24,","17.41,","66.99,",42.2,,,,,,,,,,,,,,,,
75,1983,6.0,"0.076,264.18,","22.21,","63.73,",42.97,,,,,,,,,,,,,,,,
76,1983,7.0,"0.086,266.09,","26.14,","62.65,",44.39,,,,,,,,,,,,,,,,
77,1983,8.0,"0.092,267.43,","26.57,","64.84,",45.7,,,,,,,,,,,,,,,,
